marke,name,laenge_cm,breite_cm,hoehe_cm,volumen_l,gewicht_kg,max_zuladung_kg,quelle,confidence
Atera,Atera Casar L,191,81,42,420,17.5,75,https://www.atera.de/products/dachbox-casar-l-lava-1-082293,high
Atera,Atera Casar M,177,77,42,380,14.5,75,https://www.atera.de/products/dachbox-casar-l-lava-082291,high
Atera,Atera Casar XL,215,90,43,540,20.5,75,https://www.atera.de/products/dachbox-casar-xl-lava-082295,high
Atera,Atera Lunar 470,186,90,42,470,22.5,75,https://www.atera.de/products/dachbox-lunar-082297,high
CRUZ,CRUZ Paddock 400,165,90,46,400,15.1,75,https://cruz-products.com/en/roof-boxes/4054-cruz-paddock-400n-glossy-black-.html,high
CRUZ,CRUZ Paddock 470,186,90,46,470,16.5,75,https://cruz-products.com/en/roof-boxes/4056-cruz-paddock-470n-glossy-black-.html,high
CRUZ,CRUZ Xtreme 450,195,78,39,450,23,50,https://bagazniki.pl/pl/p/Box-dachowy-CRUZ-Xtreme-450-Antracyt-Szybki-Montaz-85mm-Dwustronne-Otwieranie/11888,medium
Farad,Farad Koral N20 480,190,80,40,480,14,75,https://www.traegerspezialist.de/Dachboxen/Dachboxen/Farad-Koral-Dachbox-Dachkoffer-Skibox-Gepaeckbox-N20-weiss-glaenzend/,medium
Farad,Farad Marlin F3 400,160,80,40,400,13,75,https://www.faradworld.com/it/p/632-box-da-tetto-farad-marlin-nero-goffrato-400l/,high
Farad,Farad Marlin F3 480,190,80,40,480,15,75,https://www.faradworld.com/it/p/628-box-da-tetto-farad-marlin-nero-goffrato-480l/,high
Farad,Farad Marlin F3 680,210,100,42,680,21,75,https://www.faradworld.com/it/p/638-box-da-tetto-farad-marlin-nero-goffrato-680l/,high
G3,G3 Absolute 480,193,74,37,390,13,75,https://www.g3spa.it/en/product/absolute-480-2/,high
G3,G3 Krono 480,195,73.8,36,390,13,75,https://www.g3spa.it/en/product/krono-480-2/,high
G3,G3 Spark 320,133.8,73,36,240,7,50,https://www.g3spa.it/en/product/spark-320-2/,high
G3,G3 Spark 400,144,86,37.5,330,10,75,https://www.g3spa.it/en/product/spark-400/,high
G3,G3 Spark 480,195,73.8,36,390,13,75,https://www.g3spa.it/en/product/spark-480/,high
Hapro,Hapro Cruiser 10.8,226,94,43,600,27,75,https://vdlhapro.com/en/products/cruiser-10-8/,high
Hapro,Hapro Nordic 10.8,226,94,32,460,23.5,75,https://vdlhapro.com/en/products/nordic-10-8/,high
Hapro,Hapro Rider 4.4,145,95,42,370,13,75,https://vdlhapro.com/en/products/rider-4-4/,high
Hapro,Hapro Rider 5.4,178,78,42,370,14,75,https://vdlhapro.com/en/products/rider-5-4/,high
Hapro,Hapro Rider 6.4,192,82,42,410,17,75,https://vdlhapro.com/en/products/rider-6-4/,high
Hapro,Hapro Roady 350,135,78,40,300,11,50,https://vdlhapro.com/producten/roady-350/,high
Hapro,Hapro Traxer 4.6,148,97,42,370,15.5,75,https://vdlhapro.com/en/products/traxer-4-6/,high
Hapro,Hapro Traxer 5.6,177,77,42,370,15,75,https://vdlhapro.com/en/products/traxer-5-6/,high
Hapro,Hapro Traxer 6.2,193,65,42,320,15,75,https://vdlhapro.com/en/products/traxer-6-2/,high
Hapro,Hapro Traxer 6.6,191,81,42,410,18,75,https://vdlhapro.com/en/products/traxer-6-6/,high
Hapro,Hapro Traxer 8.6,215,90,43,530,21.5,75,https://vdlhapro.com/en/products/traxer-8-6/,high
