hersteller,modell,typ,segment,land,montagearten,laenge_cm,breite_cm,eigengewicht_kg,traglast_dyn_kg,traglast_dyn_pro_traeger_kg,traglast_stat_kg,preis_eur,url,traglast_quelle,traglast_konfidenz,traglast_notiz,quelle
Thule,WingBar Evo,"Querträger Alu, Aero-Profil, T-Nut",PKW-Querträger,SE,"Klemm (Evo Clamp), offene Reling, bündige Reling, Fixpunkt",108.0,,2.6,100.0,,,122.0,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, atu.de, dachtraegerexperte.de"
Thule,WingBar Evo,"Querträger Alu, Aero-Profil, T-Nut",PKW-Querträger,SE,"Klemm (Evo Clamp), offene Reling, bündige Reling, Fixpunkt",118.0,,2.8,100.0,,,122.0,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, atu.de, dachtraegerexperte.de"
Thule,WingBar Evo,"Querträger Alu, Aero-Profil, T-Nut",PKW-Querträger,SE,"Klemm (Evo Clamp), offene Reling, bündige Reling, Fixpunkt",127.0,,3.0,100.0,,,130.0,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, atu.de, dachtraegerexperte.de"
Thule,WingBar Evo,"Querträger Alu, Aero-Profil, T-Nut",PKW-Querträger,SE,"Klemm (Evo Clamp), offene Reling, bündige Reling, Fixpunkt",135.0,,3.2,100.0,,,140.0,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, atu.de, dachtraegerexperte.de"
Thule,WingBar Evo,"Querträger Alu, Aero-Profil, T-Nut",PKW-Querträger,SE,"Klemm (Evo Clamp), offene Reling, bündige Reling, Fixpunkt",150.0,,3.5,100.0,,,150.0,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, atu.de, dachtraegerexperte.de"
Thule,SquareBar Evo,"Querträger Stahl, Vierkant (kunststoffummantelt)",PKW-Querträger,SE,"Klemm, offene Reling, bündige Reling, Fixpunkt",108.0,,4.0,100.0,,,60.0,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, traegerspezialist.de"
Thule,SquareBar Evo,"Querträger Stahl, Vierkant (kunststoffummantelt)",PKW-Querträger,SE,"Klemm, offene Reling, bündige Reling, Fixpunkt",118.0,,4.2,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, traegerspezialist.de"
Thule,SquareBar Evo,"Querträger Stahl, Vierkant (kunststoffummantelt)",PKW-Querträger,SE,"Klemm, offene Reling, bündige Reling, Fixpunkt",127.0,,4.5,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, traegerspezialist.de"
Thule,SquareBar Evo,"Querträger Stahl, Vierkant (kunststoffummantelt)",PKW-Querträger,SE,"Klemm, offene Reling, bündige Reling, Fixpunkt",135.0,,4.8,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, traegerspezialist.de"
Thule,SquareBar Evo,"Querträger Stahl, Vierkant (kunststoffummantelt)",PKW-Querträger,SE,"Klemm, offene Reling, bündige Reling, Fixpunkt",150.0,,5.2,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, traegerspezialist.de"
Thule,ProBar Evo,"Querträger Alu, Schwerlast, doppelte T-Nut (Gewerbe)",Van/Nutzfahrzeug,SE,"Klemm, Reling, Fixpunkt, Regenrinne (Fußsatz 951/953)",120.0,,5.0,100.0,,,150.0,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, rameder.de"
Thule,ProBar Evo,"Querträger Alu, Schwerlast, doppelte T-Nut (Gewerbe)",Van/Nutzfahrzeug,SE,"Klemm, Reling, Fixpunkt, Regenrinne (Fußsatz 951/953)",135.0,,5.5,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, rameder.de"
Thule,ProBar Evo,"Querträger Alu, Schwerlast, doppelte T-Nut (Gewerbe)",Van/Nutzfahrzeug,SE,"Klemm, Reling, Fixpunkt, Regenrinne (Fußsatz 951/953)",150.0,,6.0,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, rameder.de"
