marke,name,typ,liege_l_cm,liege_b_cm,packhoehe_cm,gewicht_kg,quelle,quelle_typ
Advamping,Advamping Couple 2025,softshell,244,143,45,63.0,https://www.advamping.de/shop/advamping-couple,high
Advamping,Advamping Family 2025,softshell,244,193,45,74.0,https://www.advamping.de/shop/family,high
Advamping,Advamping Family Light 2025,softshell,244,193,45,68.0,https://www.advamping.de/shop/family-light,high
Advamping,Advamping Honeymoon 2025,softshell,244,163,45,68.0,https://www.advamping.de/shop/honeymoon,high
Advamping,Advamping Single 2025,softshell,214,122,45,52.0,https://www.advamping.de/shop/single,high
Adventure Xperience,Adventure Xperience AdventureFamily160 inkl. Vorzelt,softshell,240,160,32,63.0,https://www.adventure-xperience.de/dachzelt-adventurefamily160,high
Adventure Xperience,Adventure Xperience AdventureMate140 inkl. Vorzelt,softshell,240,140,32,58.0,https://www.adventure-xperience.de/adventuremate140,high
Adventure Xperience,Adventure Xperience Adventurer 160,softshell,240,160,32,63.0,https://www.adventure-xperience.de/adventurer160-dachzelt,high
Adventure Xperience,Adventure Xperience Adventurer140,softshell,240,140,30,58.0,https://www.adventure-xperience.de/adventurer-dachzelt-140,high
ALTOURA,ALTOURA Swisskings 140L,softshell,230,135,30,58.0,https://altoura.de/products/swisskings-140l-dachzelt,high
ALTOURA,ALTOURA Swisskings 140S,softshell,230,135,30,53.0,https://altoura.de/products/swisskings-140s-dachzelt,high
ALTOURA,ALTOURA Swisskings 160L,softshell,230,155,30,65.0,https://altoura.de/products/swisskings-160-l-dachzelt,high
ALTOURA,ALTOURA Swisskings 160S,softshell,230,155,30,59.0,https://altoura.de/products/swisskings-160s-klappdachzelt,high
ALTOURA,ALTOURA Swisskings 190L,softshell,230,185,30,85.0,https://altoura.de/products/swisskings-190l-dachzelt-familien-camping,high
ALTOURA,ALTOURA Swisskings Taiga Light-145,hartschale,210,130,13,75.0,https://altoura.de/products/swisskings-taiga-lite-dachzelt-13cm,high
ALTOURA,ALTOURA Swisskings Taiga Pro,hartschale,210,140,22,90.0,https://www.accessoires4x4.ch/en/roof-top-tents-swisskings/980-taiga-serie-pro-hard-shell-aluminium-thickness-22-cm-145-x-210-cm.html,dealer
