hersteller,modell,typ,segment,land,laenge_cm,auslage_cm,gewicht_kg,preis_eur,montagebasis,zaehlt_zur_dachlast,regel,fahrzeugtyp,fahrzeug_beispiele,passform_hinweis,antrieb,montage,url,quelle
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,230.0,200.0,9.0,569.0,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,260.0,220.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,300.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,325.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,350.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,375.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,400.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,425.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,450.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,500.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 1200,"Sackmarkise (Wohnwagen, Kederschiene)",Van/Wohnmobil,SE/BE,550.0,250.0,,,kederschiene,False,B1,Campingbus mit Kederschiene,"VW T4/T5/T6 mit Kederschiene/Regenrinne, Minicamper","Einzug in Kederschiene, mit Aufstellstangen (P7)",manuell,"Kederschiene, ohne Bohren",https://www.thule.com/de-de/caravans-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 3200,"Kassettenmarkise (Wand), kompakt für Vans",Van/Wohnmobil,SE/BE,190.0,250.0,12.0,579.0,wand,False,W1,Minicamper / Hochdachkombi / kurzer Kompaktvan,"VW Caddy, Renault Kangoo, Berlingo/Rifter","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),"Wandmontage, fahrzeugspezifische Adapter",https://www.thule.com/de-de/awnings/manual-awnings,"camping-eshop.de, lila-bus-shop.de"
Thule (Omnistor),Omnistor 3200,"Kassettenmarkise (Wand), kompakt für Vans",Van/Wohnmobil,SE/BE,230.0,250.0,13.8,599.0,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),"Wandmontage, fahrzeugspezifische Adapter",https://www.thule.com/de-de/awnings/manual-awnings,"camping-eshop.de, lila-bus-shop.de"
Thule (Omnistor),Omnistor 3200,"Kassettenmarkise (Wand), kompakt für Vans",Van/Wohnmobil,SE/BE,250.0,250.0,14.7,609.0,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),"Wandmontage, fahrzeugspezifische Adapter",https://www.thule.com/de-de/awnings/manual-awnings,"camping-eshop.de, lila-bus-shop.de"
Thule (Omnistor),Omnistor 3200,"Kassettenmarkise (Wand), kompakt für Vans",Van/Wohnmobil,SE/BE,270.0,250.0,15.6,629.0,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),"Wandmontage, fahrzeugspezifische Adapter",https://www.thule.com/de-de/awnings/manual-awnings,"camping-eshop.de, lila-bus-shop.de"
Thule (Omnistor),Omnistor 3200,"Kassettenmarkise (Wand), kompakt für Vans",Van/Wohnmobil,SE/BE,300.0,250.0,16.9,649.0,wand,False,W3,"Kastenwagen kurz-mittel (5,4-6 m)","Ducato L2, Jumper/Boxer L2, Crafter/TGE kurz","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),"Wandmontage, fahrzeugspezifische Adapter",https://www.thule.com/de-de/awnings/manual-awnings,"camping-eshop.de, lila-bus-shop.de"
Thule (Omnistor),Thule 4200,"Kassettenmarkise (Wand), kompakt für Vans",Van/Wohnmobil,SE/BE,260.0,200.0,,829.0,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Kurbel),Wandmontage mit Adaptern,https://www.thule.com/de-de/van-accessories/awnings,thule.com
Thule (Omnistor),Thule 4200,"Kassettenmarkise (Wand), kompakt für Vans",Van/Wohnmobil,SE/BE,300.0,250.0,,899.0,wand,False,W3,"Kastenwagen kurz-mittel (5,4-6 m)","Ducato L2, Jumper/Boxer L2, Crafter/TGE kurz","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Kurbel),Wandmontage mit Adaptern,https://www.thule.com/de-de/van-accessories/awnings,thule.com
Thule (Omnistor),Omnistor 5102,"Kassettenmarkise (Wand), VW T5/T6/T6.1",Van/Wohnmobil,SE/BE,260.0,200.0,19.8,749.0,wand,False,S1,Kompaktvan (fahrzeugspezifisch),VW T5 / T6 / T6.1 mit C-Schiene,Nur für Fahrzeuge mit vorhandener C-Schiene,manuell (Kurbel),Adapter für C-Schiene,https://www.thule.com/de-de/awnings,"canvaz.de, camping-eshop.de"
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,192.0,140.0,,799.0,wand,False,W1,Minicamper / Hochdachkombi / kurzer Kompaktvan,"VW Caddy, Renault Kangoo, Berlingo/Rifter","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,232.0,180.0,,829.0,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,262.0,200.0,,869.0,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,302.0,250.0,22.6,949.0,wand,False,W3,"Kastenwagen kurz-mittel (5,4-6 m)","Ducato L2, Jumper/Boxer L2, Crafter/TGE kurz","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,315.0,250.0,,1064.0,wand,False,W3,"Kastenwagen kurz-mittel (5,4-6 m)","Ducato L2, Jumper/Boxer L2, Crafter/TGE kurz","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,352.0,250.0,,1039.0,wand,False,W4,Kastenwagen lang / teilintegriertes Wohnmobil (6-7 m),"Ducato L3/L4 (Pössl, Boxstar), Sprinter/Crafter lang","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,375.0,250.0,,1104.0,wand,False,W4,Kastenwagen lang / teilintegriertes Wohnmobil (6-7 m),"Ducato L3/L4 (Pössl, Boxstar), Sprinter/Crafter lang","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,402.0,250.0,,1119.0,wand,False,W4,Kastenwagen lang / teilintegriertes Wohnmobil (6-7 m),"Ducato L3/L4 (Pössl, Boxstar), Sprinter/Crafter lang","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,452.0,250.0,,1239.0,wand,False,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 5200,Kassettenmarkise (Wand),Van/Wohnmobil,SE/BE,502.0,250.0,,1369.0,wand,False,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,260.0,200.0,,929.0,dach,True,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,300.0,250.0,,1009.0,dach,True,W3,"Kastenwagen kurz-mittel (5,4-6 m)","Ducato L2, Jumper/Boxer L2, Crafter/TGE kurz","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,325.0,250.0,,1149.0,dach,True,W3,"Kastenwagen kurz-mittel (5,4-6 m)","Ducato L2, Jumper/Boxer L2, Crafter/TGE kurz","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,350.0,250.0,,1149.0,dach,True,W4,Kastenwagen lang / teilintegriertes Wohnmobil (6-7 m),"Ducato L3/L4 (Pössl, Boxstar), Sprinter/Crafter lang","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,375.0,250.0,,1209.0,dach,True,W4,Kastenwagen lang / teilintegriertes Wohnmobil (6-7 m),"Ducato L3/L4 (Pössl, Boxstar), Sprinter/Crafter lang","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,400.0,250.0,30.5,1239.0,dach,True,W4,Kastenwagen lang / teilintegriertes Wohnmobil (6-7 m),"Ducato L3/L4 (Pössl, Boxstar), Sprinter/Crafter lang","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,425.0,250.0,,1319.0,dach,True,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,450.0,250.0,,1319.0,dach,True,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 6300,Kassettenmarkise (Dach),Van/Wohnmobil,SE/BE,500.0,250.0,,1419.0,dach,True,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 12V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings/manual-awnings,thule.com (UVP weiß)
Thule (Omnistor),Omnistor 8000,"Kassettenmarkise (Wand), große Wohnmobile",Van/Wohnmobil,SE/BE,400.0,275.0,41.4,1429.0,wand,False,W4,Kastenwagen lang / teilintegriertes Wohnmobil (6-7 m),"Ducato L3/L4 (Pössl, Boxstar), Sprinter/Crafter lang","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,"thule.com, cara-tech-24.eu"
Thule (Omnistor),Omnistor 8000,"Kassettenmarkise (Wand), große Wohnmobile",Van/Wohnmobil,SE/BE,450.0,275.0,44.6,1599.0,wand,False,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,"thule.com, cara-tech-24.eu"
Thule (Omnistor),Omnistor 8000,"Kassettenmarkise (Wand), große Wohnmobile",Van/Wohnmobil,SE/BE,500.0,275.0,48.2,,wand,False,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,"thule.com, cara-tech-24.eu"
Thule (Omnistor),Omnistor 8000,"Kassettenmarkise (Wand), große Wohnmobile",Van/Wohnmobil,SE/BE,550.0,275.0,51.8,2204.0,wand,False,W6,Großes Wohnmobil / Liner (ab 8 m),"Concorde, Morelo, lange Vollintegrierte","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,"thule.com, cara-tech-24.eu"
Thule (Omnistor),Omnistor 8000,"Kassettenmarkise (Wand), große Wohnmobile",Van/Wohnmobil,SE/BE,600.0,275.0,55.4,,wand,False,W6,Großes Wohnmobil / Liner (ab 8 m),"Concorde, Morelo, lange Vollintegrierte","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor nachrüstbar",Wandmontage,https://www.thule.com/de-de/awnings/manual-awnings,"thule.com, cara-tech-24.eu"
Thule (Omnistor),Omnistor 9200,"Kassettenmarkise (Dach), größte Baureihe",Van/Wohnmobil,SE/BE,400.0,300.0,42.4,1734.0,dach,True,W4,Kastenwagen lang / teilintegriertes Wohnmobil (6-7 m),"Ducato L3/L4 (Pössl, Boxstar), Sprinter/Crafter lang","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings,thule.com
Thule (Omnistor),Omnistor 9200,"Kassettenmarkise (Dach), größte Baureihe",Van/Wohnmobil,SE/BE,450.0,300.0,45.6,1974.0,dach,True,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings,thule.com
Thule (Omnistor),Omnistor 9200,"Kassettenmarkise (Dach), größte Baureihe",Van/Wohnmobil,SE/BE,500.0,300.0,,,dach,True,W5,Teil-/vollintegriertes Wohnmobil (7-8 m),"Hymer B-Klasse, Knaus Sky Ti, Dethleffs Trend","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings,thule.com
Thule (Omnistor),Omnistor 9200,"Kassettenmarkise (Dach), größte Baureihe",Van/Wohnmobil,SE/BE,550.0,300.0,,,dach,True,W6,Großes Wohnmobil / Liner (ab 8 m),"Concorde, Morelo, lange Vollintegrierte","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings,thule.com
Thule (Omnistor),Omnistor 9200,"Kassettenmarkise (Dach), größte Baureihe",Van/Wohnmobil,SE/BE,600.0,300.0,,,dach,True,W6,Großes Wohnmobil / Liner (ab 8 m),"Concorde, Morelo, lange Vollintegrierte","Dachmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)","manuell (Kurbel), 230V-Motor-Kit optional",Dachmontage,https://www.thule.com/de-de/awnings,thule.com
Thule,Outland Awning,Seitenmarkise (Box) mit Stützfüßen,Offroad/Dachzelt,SE,190.0,250.0,12.0,800.0,dach,True,D2,SUV / Geländewagen mittlerer Größe,"Defender 90/110, Jeep Wrangler, RAV4, Tiguan, Pickup Einzelkabine","Dachträger erforderlich; Regel D nach Dachlänge (P2, P3)",manuell,Dachträger,https://www.thule.com/de-de/rooftop-tents-and-accessories,thule.com (DE nur 190-cm-Variante)
Fiamma,F35 Pro,Rollmarkise/Sackmarkise (Alu-Gehäuse),Van/Wohnmobil,IT,180.0,180.0,8.5,,wand,False,W1,Minicamper / Hochdachkombi / kurzer Kompaktvan,"VW Caddy, Renault Kangoo, Berlingo/Rifter","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),Wand/Dachträger/Reling per Adapter-Kit,https://www.fiamma.com/en/products/awnings,"camperlands.co.uk, vanlifemag.de; DE ca. 330-500 EUR"
Fiamma,F35 Pro,Rollmarkise/Sackmarkise (Alu-Gehäuse),Van/Wohnmobil,IT,220.0,225.0,10.5,,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),Wand/Dachträger/Reling per Adapter-Kit,https://www.fiamma.com/en/products/awnings,"camperlands.co.uk, vanlifemag.de; DE ca. 330-500 EUR"
Fiamma,F35 Pro,Rollmarkise/Sackmarkise (Alu-Gehäuse),Van/Wohnmobil,IT,250.0,225.0,11.5,,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),Wand/Dachträger/Reling per Adapter-Kit,https://www.fiamma.com/en/products/awnings,"camperlands.co.uk, vanlifemag.de; DE ca. 330-500 EUR"
Fiamma,F35 Pro,Rollmarkise/Sackmarkise (Alu-Gehäuse),Van/Wohnmobil,IT,270.0,225.0,13.0,,wand,False,W2,"Kompaktvan / Campingbus (4,9-5,4 m)","VW T5/T6/T6.1 (California), V-Klasse/Marco Polo, Ford Nugget","Wandmontage; Regel W: Markisenlänge = nutzbare Wandlänge (P1, P6)",manuell (Handausrollen),Wand/Dachträger/Reling per Adapter-Kit,https://www.fiamma.com/en/products/awnings,"camperlands.co.uk, vanlifemag.de; DE ca. 330-500 EUR"
